work_id,utilisation_ratio,days_to_first_payment,num_payments,avg_payment_size_lakh,round_number_payment_ratio,vendor_concentration_ratio,uc_submission_lag_days,fy_end_disbursal_ratio,cost_revision_count,payment_interval_cv,is_seeded_anomaly
MPLAD-FIN-400057,0.7985,20.128,2.0,4.4523,0.0942,0.2872,33.2912,0.1648,0.0,0.3529,0
MPLAD-FIN-400058,0.9283,11.7157,6.0,2.0006,0.2798,0.1383,89.9636,0.2046,0.0,0.5251,0
MPLAD-FIN-400059,1.0937,0.1901,1.0,51.1319,0.6715,0.8712,126.0701,0.9005,5.0,0.97,1
MPLAD-FIN-400060,0.8403,23.0136,7.0,0.7575,0.109,0.1454,41.2265,0.0245,1.0,0.5005,0
MPLAD-FIN-400061,0.8566,30.2309,6.0,11.6235,0.1538,0.2099,88.3605,0.061,0.0,0.7253,0
MPLAD-FIN-400062,0.9117,20.0003,5.0,2.8218,0.243,0.1984,29.5488,0.5759,0.0,0.231,0
MPLAD-FIN-400063,0.9465,29.811,3.0,9.017,0.1198,0.3066,29.8806,0.5339,0.0,0.2421,0
MPLAD-FIN-400064,0.9148,33.2837,6.0,11.5654,0.0774,0.3904,61.4113,0.1118,1.0,0.4578,0
MPLAD-FIN-400065,1.0399,46.6459,4.0,4.5356,0.076,0.3735,12.4498,0.0457,0.0,1.0968,0
MPLAD-FIN-400066,0.8681,36.522,4.0,2.0646,0.0164,0.1075,40.0638,0.1389,1.0,0.2656,0
MPLAD-FIN-400067,0.9309,82.8861,7.0,3.755,0.7187,0.2128,3.4915,0.4926,0.0,0.5187,0
MPLAD-FIN-400068,0.7032,25.5171,7.0,5.7289,0.1327,0.1538,36.9641,0.3154,0.0,0.6155,0
MPLAD-FIN-400069,0.969,30.8652,8.0,1.8367,0.1048,0.2858,39.5757,0.1221,0.0,0.366,0
MPLAD-FIN-400070,1.0362,38.1073,8.0,1.555,0.0842,0.107,41.6136,0.2038,0.0,0.1952,0
MPLAD-FIN-400071,1.0009,49.4617,8.0,11.7369,0.1897,0.1693,55.9491,0.2003,0.0,1.3535,0
MPLAD-FIN-400072,0.8665,32.9818,8.0,0.8537,0.1831,0.2445,76.4468,0.1418,1.0,1.5084,0
MPLAD-FIN-400073,0.873,28.7778,3.0,7.3542,0.1065,0.3541,33.9221,0.1733,0.0,0.3385,0
MPLAD-FIN-400074,0.925,9.7579,5.0,2.4976,0.3487,0.3881,38.6235,0.336,2.0,1.0667,0
MPLAD-FIN-400075,0.7338,19.5631,5.0,5.1382,0.0056,0.2664,110.5278,0.0437,0.0,0.1687,0
MPLAD-FIN-400076,0.8882,54.6671,4.0,6.2372,0.0366,0.2081,21.58,0.0564,0.0,0.3365,0
MPLAD-FIN-400077,0.9372,20.6284,3.0,3.9898,0.098,0.2541,38.442,0.0466,3.0,0.2385,0
MPLAD-FIN-400078,0.8144,27.5831,7.0,2.5658,0.2005,0.3618,61.3546,0.1761,0.0,0.133,0
MPLAD-FIN-400079,0.824,16.8869,7.0,4.5348,0.0556,0.2411,7.5941,0.394,0.0,0.1046,0
MPLAD-FIN-400080,0.9919,70.6193,7.0,3.3595,0.1125,0.1878,64.5872,0.0291,0.0,0.3226,0
MPLAD-FIN-400081,0.7874,22.4406,3.0,7.0375,0.1668,0.121,15.4552,0.4805,0.0,0.3464,0
MPLAD-FIN-400082,0.9557,19.4788,3.0,2.0216,0.137,0.3114,27.7293,0.0734,0.0,0.6435,0
MPLAD-FIN-400083,0.7532,55.4978,8.0,2.8337,0.2115,0.1355,75.9964,0.126,2.0,0.2145,0
MPLAD-FIN-400084,0.8038,71.0377,4.0,4.0089,0.0647,0.1882,46.7204,0.2298,1.0,0.1188,0
MPLAD-FIN-400085,0.8471,52.3436,5.0,0.1789,0.207,0.1091,14.1538,0.53,0.0,0.1332,0
MPLAD-FIN-400086,1.05,3.2252,5.0,2.6013,0.2654,0.4859,31.6675,0.4165,1.0,0.8978,0
MPLAD-FIN-400087,0.8332,48.0106,3.0,4.0303,0.0875,0.4355,19.4127,0.1606,0.0,0.4172,0
MPLAD-FIN-400088,0.896,21.8149,6.0,1.9513,0.1541,0.1272,18.8635,0.5755,0.0,0.3061,0
MPLAD-FIN-400089,0.9648,37.7793,7.0,0.9593,0.0564,0.109,45.5034,0.3504,0.0,1.3476,0
MPLAD-FIN-400090,0.795,13.9675,2.0,3.7858,0.0915,0.2466,25.7192,0.3951,0.0,0.1253,0
MPLAD-FIN-400091,0.8905,45.4473,8.0,6.1059,0.1588,0.1126,62.9426,0.4432,0.0,0.873,0
MPLAD-FIN-400092,0.7621,23.0538,3.0,1.733,0.1943,0.0589,34.8133,0.1112,1.0,1.0251,0
MPLAD-FIN-400093,0.844,26.9981,8.0,5.1727,0.1309,0.174,38.1011,0.3401,0.0,0.2007,0
MPLAD-FIN-400094,0.867,34.8138,8.0,1.8739,0.406,0.2628,79.5847,0.1205,0.0,0.3901,0
MPLAD-FIN-400095,0.8151,8.0155,8.0,1.5475,0.0569,0.1104,22.3915,0.2945,1.0,0.41,0
MPLAD-FIN-400096,0.8818,31.0529,7.0,3.2233,0.1974,0.1913,55.4414,0.1106,1.0,1.0089,0
MPLAD-FIN-400097,0.9518,37.3057,3.0,3.4283,0.1815,0.2347,18.301,0.0618,0.0,0.4977,0
MPLAD-FIN-400098,1.0105,50.8609,7.0,3.6385,0.031,0.181,27.1358,0.5723,0.0,1.6644,0
MPLAD-FIN-400099,0.8944,15.116,3.0,3.5441,0.0677,0.5586,90.3565,0.241,0.0,0.793,0
MPLAD-FIN-400100,0.9048,22.6912,8.0,5.8116,0.1429,0.4543,38.7228,0.1438,0.0,1.0507,0
MPLAD-FIN-400101,0.7504,44.3605,5.0,0.5954,0.1884,0.1367,24.6917,0.2858,1.0,0.5782,0
MPLAD-FIN-400102,0.9256,66.1034,4.0,8.3575,0.441,0.4687,33.1,0.3088,0.0,1.0617,0
MPLAD-FIN-400103,1.0311,29.8483,3.0,2.9282,0.0692,0.4697,23.5206,0.1953,0.0,0.4907,0
MPLAD-FIN-400104,0.8934,35.0621,2.0,2.63,0.1078,0.3233,72.0313,0.243,0.0,0.0576,0
MPLAD-FIN-400105,0.9471,14.7223,3.0,5.1311,0.1777,0.1881,53.5446,0.0423,0.0,0.1927,0
MPLAD-FIN-400106,0.9736,67.0166,8.0,1.0799,0.0283,0.1508,26.584,0.1048,0.0,0.7498,0
MPLAD-FIN-400107,0.5826,28.4396,6.0,2.5256,0.0929,0.1062,10.8917,0.264,0.0,0.1653,0
MPLAD-FIN-400108,0.9851,56.4093,3.0,2.9285,0.1137,0.3143,49.6528,0.1277,0.0,0.2205,0
MPLAD-FIN-400109,0.8426,14.2614,6.0,1.1961,0.0506,0.2397,128.136,0.1622,2.0,0.4123,0
MPLAD-FIN-400110,0.7778,20.0506,2.0,1.5285,0.0041,0.4039,29.7363,0.0688,0.0,1.1291,0
MPLAD-FIN-400111,0.9398,24.1043,6.0,4.7465,0.1114,0.2713,15.5851,0.0932,0.0,0.144,0
MPLAD-FIN-400112,0.7663,11.4914,4.0,0.7263,0.1175,0.2324,66.0325,0.3767,0.0,1.0852,0
MPLAD-FIN-400113,0.805,40.4693,8.0,5.0812,0.306,0.3886,58.4787,0.084,0.0,1.2041,0
MPLAD-FIN-400114,1.05,26.6572,8.0,0.9981,0.0224,0.3711,12.9101,0.281,1.0,0.744,0
MPLAD-FIN-400115,0.8135,37.768,5.0,1.7248,0.0326,0.2292,41.1558,0.1872,1.0,0.255,0
MPLAD-FIN-400116,0.8897,28.9779,7.0,2.2303,0.056,0.2364,35.9894,0.4551,1.0,0.5199,0
MPLAD-FIN-400117,1.0234,30.1182,5.0,10.4609,0.1178,0.3292,130.0209,0.339,0.0,0.3123,0
MPLAD-FIN-400118,1.0487,30.6488,7.0,1.5586,0.056,0.2995,23.3085,0.1736,1.0,0.1781,0
MPLAD-FIN-400119,0.8182,30.495,4.0,3.584,0.1397,0.2462,41.7313,0.2001,0.0,0.302,0
MPLAD-FIN-400120,0.804,98.3956,5.0,5.3899,0.0088,0.3893,95.5623,0.0412,0.0,0.5288,0
MPLAD-FIN-400121,0.8954,18.2496,3.0,5.2736,0.2073,0.0738,44.3768,0.5301,0.0,0.4936,0
MPLAD-FIN-400122,0.901,13.1331,6.0,1.1927,0.3668,0.181,5.808,0.327,0.0,0.3595,0
MPLAD-FIN-400123,0.9433,11.7409,7.0,4.2134,0.1401,0.3355,68.8547,0.1556,0.0,0.0751,0
MPLAD-FIN-400124,0.8313,27.5816,6.0,3.9142,0.3409,0.1751,121.6708,0.1118,0.0,0.2138,0
MPLAD-FIN-400125,0.7966,37.9672,3.0,4.7583,0.3148,0.1533,62.9386,0.1387,0.0,0.2508,0
MPLAD-FIN-400126,1.0163,29.9878,2.0,1.1394,0.3454,0.1732,45.7378,0.4687,0.0,0.3764,0
MPLAD-FIN-400127,1.1436,2.1953,1.0,15.3964,0.8838,0.9793,131.8402,0.9373,4.0,1.6704,1
MPLAD-FIN-400128,0.7828,28.1265,5.0,6.2563,0.2162,0.2928,41.2324,0.3767,0.0,0.2127,0
MPLAD-FIN-400129,0.9765,15.433,5.0,2.017,0.4844,0.4261,65.333,0.5826,0.0,0.5839,0
MPLAD-FIN-400130,0.9861,43.5958,7.0,0.8979,0.1388,0.4007,45.5327,0.4547,0.0,0.8111,0
MPLAD-FIN-400131,1.063,0.3918,2.0,14.6791,0.9582,0.9177,211.3157,0.9475,5.0,1.5319,1
MPLAD-FIN-400132,1.0214,27.9082,4.0,4.4263,0.2782,0.0692,39.9893,0.117,0.0,0.5188,0
MPLAD-FIN-400133,0.8547,48.0357,2.0,4.7395,0.0441,0.0604,30.8362,0.2193,1.0,0.4894,0
MPLAD-FIN-400134,0.9658,58.8215,2.0,5.1633,0.1103,0.1503,8.1841,0.1655,1.0,0.3604,0
MPLAD-FIN-400135,0.8664,15.0489,6.0,4.9042,0.0193,0.2999,15.7848,0.1855,1.0,0.6335,0
MPLAD-FIN-400136,0.9976,33.7999,3.0,2.1531,0.07,0.0558,18.4539,0.1041,0.0,0.585,0
MPLAD-FIN-400137,0.6952,53.165,8.0,1.0586,0.1944,0.4313,7.9707,0.1701,1.0,0.6288,0
MPLAD-FIN-400138,0.8047,21.9938,4.0,11.4995,0.2566,0.0676,96.9432,0.1651,0.0,0.3528,0
MPLAD-FIN-400139,0.9717,19.1234,3.0,5.3736,0.0624,0.2522,26.0468,0.1314,0.0,0.4995,0
MPLAD-FIN-400140,0.9817,17.4936,2.0,6.1454,0.3701,0.424,14.6116,0.1061,0.0,0.2138,0
MPLAD-FIN-400141,0.8882,8.441,5.0,5.4407,0.2058,0.4222,49.0042,0.2961,0.0,0.7104,0
MPLAD-FIN-400142,1.05,10.5532,3.0,4.6138,0.4696,0.204,46.203,0.1174,0.0,0.3316,0
MPLAD-FIN-400143,0.9854,24.4157,4.0,5.5278,0.0641,0.4952,25.983,0.146,2.0,0.1383,0
MPLAD-FIN-400144,0.8968,27.7361,6.0,5.4011,0.1425,0.3555,59.257,0.0645,0.0,0.5701,0
MPLAD-FIN-400145,0.956,21.4306,6.0,2.4993,0.1728,0.4097,32.2849,0.2058,0.0,0.5342,0
MPLAD-FIN-400146,1.0206,2.8907,6.0,9.9945,0.1924,0.1727,53.7205,0.2742,3.0,0.2025,0
MPLAD-FIN-400147,0.8852,24.5151,6.0,6.1807,0.0413,0.165,17.3653,0.3086,0.0,1.9543,0
MPLAD-FIN-400148,1.0008,27.9318,4.0,2.508,0.0948,0.152,19.7141,0.4322,0.0,0.3203,0
MPLAD-FIN-400149,0.9411,9.2235,8.0,2.8139,0.1024,0.5089,54.139,0.1421,1.0,0.9157,0
MPLAD-FIN-400150,0.8147,23.2408,8.0,3.9392,0.2418,0.3252,32.6571,0.2204,1.0,0.1246,0
MPLAD-FIN-400151,0.7531,59.8387,6.0,6.4282,0.3539,0.3441,13.0157,0.1447,0.0,0.2285,0
MPLAD-FIN-400152,1.05,29.5115,3.0,3.821,0.0833,0.2764,115.4581,0.2071,0.0,0.682,0
MPLAD-FIN-400153,0.9177,21.2499,4.0,7.947,0.0597,0.0716,68.7438,0.3344,0.0,0.424,0
MPLAD-FIN-400154,0.8284,61.8024,5.0,9.2683,0.2574,0.5408,12.5867,0.2396,1.0,0.5833,0
MPLAD-FIN-400155,0.9779,104.1111,7.0,6.7877,0.2031,0.1589,24.5208,0.442,2.0,0.3285,0
MPLAD-FIN-400156,0.8716,18.7721,8.0,4.2418,0.1184,0.3762,28.595,0.2466,0.0,1.1664,0
MPLAD-FIN-400157,1.0383,9.5877,2.0,2.8848,0.1219,0.0573,33.673,0.0978,0.0,0.7953,0
MPLAD-FIN-400158,0.8045,44.4832,5.0,4.3979,0.1263,0.3167,81.8547,0.4542,0.0,0.6069,0
MPLAD-FIN-400159,0.9799,79.373,2.0,2.0122,0.0151,0.2317,15.7629,0.1909,1.0,0.1919,0
MPLAD-FIN-400160,0.9709,48.2377,8.0,1.3436,0.165,0.2304,41.409,0.2647,0.0,0.312,0
MPLAD-FIN-400161,1.1925,5.5193,2.0,12.891,0.7389,0.7007,179.5754,0.7496,3.0,1.115,1
MPLAD-FIN-400162,0.7883,9.5115,4.0,0.7498,0.0736,0.2657,94.9825,0.1464,0.0,0.0876,0
MPLAD-FIN-400163,0.8396,13.7411,6.0,2.7281,0.1825,0.1058,10.5806,0.288,1.0,0.1552,0
MPLAD-FIN-400164,0.8517,39.1285,7.0,9.4144,0.4394,0.3429,78.7246,0.1501,0.0,0.19,0
MPLAD-FIN-400165,0.8469,36.7875,7.0,3.7115,0.3874,0.1428,14.5072,0.0544,0.0,0.0744,0
MPLAD-FIN-400166,0.8358,117.0845,6.0,5.1038,0.4023,0.092,77.3178,0.1466,0.0,0.5819,0
MPLAD-FIN-400167,0.9888,16.6001,2.0,5.818,0.0398,0.1535,16.9716,0.2587,1.0,0.5522,0
MPLAD-FIN-400168,0.7962,64.6686,6.0,1.1186,0.1758,0.1257,31.4537,0.2029,0.0,0.3056,0
MPLAD-FIN-400169,0.7298,7.1538,5.0,3.4301,0.2078,0.6308,49.4524,0.4613,0.0,0.2727,0
MPLAD-FIN-400170,1.05,10.8228,6.0,5.1204,0.127,0.2395,33.547,0.1533,0.0,0.8049,0
MPLAD-FIN-400171,0.8186,39.5749,6.0,2.4547,0.2329,0.3694,87.8387,0.2679,1.0,0.6769,0
MPLAD-FIN-400172,0.8464,39.3638,8.0,3.7534,0.0652,0.0369,53.1947,0.3405,0.0,0.9634,0
MPLAD-FIN-400173,0.7369,16.4576,6.0,2.9231,0.156,0.2951,58.9123,0.0378,1.0,0.7225,0
MPLAD-FIN-400174,0.939,7.1794,8.0,1.8979,0.1764,0.4814,18.4549,0.1053,0.0,0.5889,0
MPLAD-FIN-400175,1.05,26.5813,7.0,3.5475,0.1996,0.0275,106.4338,0.3042,0.0,0.116,0
MPLAD-FIN-400176,1.0112,12.2202,6.0,5.4766,0.0539,0.0489,149.6151,0.1477,1.0,0.1442,0
MPLAD-FIN-400177,0.8741,82.0014,6.0,4.7041,0.1231,0.1857,34.1065,0.5564,0.0,0.1428,0
MPLAD-FIN-400178,1.05,75.8611,3.0,3.2566,0.2692,0.1035,75.6449,0.0698,0.0,0.2104,0
MPLAD-FIN-400179,0.837,55.6445,5.0,4.3679,0.1264,0.1726,34.3369,0.3574,0.0,0.078,0
MPLAD-FIN-400180,0.8668,11.1049,2.0,1.5962,0.0907,0.4789,5.8849,0.0537,0.0,0.4649,0
MPLAD-FIN-400181,1.05,17.785,8.0,1.5217,0.5412,0.3916,108.0854,0.3255,0.0,0.4615,0
MPLAD-FIN-400182,0.8705,68.1724,2.0,4.1419,0.0518,0.2965,25.1529,0.5601,0.0,0.0529,0
MPLAD-FIN-400183,0.9161,82.8072,6.0,2.3184,0.2672,0.2151,28.6902,0.2297,0.0,0.2471,0
MPLAD-FIN-400184,0.9347,9.4782,8.0,7.777,0.1926,0.02,14.4129,0.1473,1.0,1.4023,0
MPLAD-FIN-400185,0.9971,68.6349,6.0,4.4648,0.2215,0.2784,15.8894,0.2322,0.0,0.2097,0
MPLAD-FIN-400186,0.9269,35.2963,2.0,2.1432,0.363,0.1423,59.1738,0.2319,1.0,0.323,0
MPLAD-FIN-400187,0.7552,6.0017,6.0,1.8397,0.0038,0.1583,58.2148,0.3349,1.0,0.9291,0
MPLAD-FIN-400188,0.7369,11.4235,3.0,3.4436,0.0946,0.3069,13.3515,0.1926,1.0,1.0413,0
MPLAD-FIN-400189,0.8574,64.4403,6.0,2.1723,0.188,0.3329,52.4611,0.4719,0.0,0.6049,0
MPLAD-FIN-400190,0.8598,45.0613,6.0,2.7199,0.307,0.1031,109.0568,0.0435,0.0,0.4607,0
MPLAD-FIN-400191,0.7917,11.3621,5.0,1.5855,0.068,0.3796,48.5523,0.2003,0.0,0.9639,0
MPLAD-FIN-400192,0.704,7.87,2.0,15.8453,0.8306,0.9295,224.0678,0.6376,2.0,0.9047,1
MPLAD-FIN-400193,0.9677,22.7909,2.0,7.4992,0.2484,0.1123,45.7334,0.0928,0.0,0.4383,0
MPLAD-FIN-400194,0.8298,33.0736,7.0,2.2802,0.0717,0.4905,65.819,0.561,0.0,0.9736,0
MPLAD-FIN-400195,1.05,67.1217,7.0,1.9409,0.3075,0.3433,53.8955,0.4025,1.0,1.1657,0
MPLAD-FIN-400196,1.05,64.2008,6.0,3.1315,0.1442,0.2804,60.159,0.1649,1.0,0.2658,0
MPLAD-FIN-400197,0.8813,23.9199,6.0,1.3257,0.241,0.2442,15.5979,0.3092,0.0,0.2914,0
MPLAD-FIN-400198,0.8272,41.2498,6.0,3.962,0.0735,0.0888,26.5874,0.0198,1.0,0.3416,0
MPLAD-FIN-400199,1.05,53.9889,3.0,5.8181,0.1369,0.3344,73.6578,0.1551,0.0,0.2055,0
MPLAD-FIN-400200,0.9429,59.2326,4.0,2.2556,0.3967,0.0898,69.688,0.0554,0.0,0.1397,0
MPLAD-FIN-400201,0.8486,16.1074,3.0,1.5182,0.0801,0.392,21.0077,0.1864,1.0,0.602,0
MPLAD-FIN-400202,0.9075,41.8743,4.0,2.085,0.117,0.4089,48.4707,0.3507,0.0,1.9322,0
MPLAD-FIN-400203,0.8707,69.0512,3.0,2.9491,0.0667,0.3744,52.1055,0.2119,0.0,0.4641,0
MPLAD-FIN-400204,0.8417,25.6629,5.0,6.2598,0.0559,0.0835,99.6996,0.3413,1.0,0.4422,0
MPLAD-FIN-400205,0.834,45.0035,2.0,5.8743,0.024,0.3427,58.3577,0.2539,1.0,0.3065,0
MPLAD-FIN-400206,0.9527,12.8893,3.0,2.2207,0.2162,0.1073,55.1617,0.2783,0.0,0.5753,0
MPLAD-FIN-400207,1.0483,53.1148,4.0,3.2888,0.0034,0.1264,85.2333,0.0937,0.0,0.4634,0
MPLAD-FIN-400208,0.889,65.7483,4.0,5.5162,0.041,0.2912,34.3142,0.3273,0.0,0.2834,0
MPLAD-FIN-400209,0.9004,39.3127,3.0,0.8302,0.3643,0.0552,35.5859,0.6077,0.0,0.4896,0
MPLAD-FIN-400210,0.8372,37.1864,7.0,2.144,0.0948,0.2768,78.4999,0.387,1.0,0.8835,0
MPLAD-FIN-400211,0.9949,2.1788,1.0,20.9403,0.8632,0.8258,55.489,0.9212,4.0,1.8319,1
MPLAD-FIN-400212,0.7085,25.2881,3.0,2.6782,0.1387,0.2765,45.6559,0.3586,0.0,0.1802,0
MPLAD-FIN-400213,0.8668,45.9135,7.0,5.7153,0.118,0.5156,23.5191,0.0429,0.0,0.2498,0
MPLAD-FIN-400214,0.8658,30.5168,6.0,8.0127,0.0998,0.2803,9.1887,0.2841,0.0,0.7267,0
MPLAD-FIN-400215,1.0236,43.416,4.0,2.6401,0.2539,0.4346,42.4743,0.3965,0.0,0.5178,0
MPLAD-FIN-400216,0.6604,29.1576,8.0,3.1131,0.02,0.1984,17.934,0.2458,1.0,0.2638,0
MPLAD-FIN-400217,0.9142,11.9082,8.0,3.7776,0.21,0.1242,47.096,0.2025,0.0,0.0277,0
MPLAD-FIN-400218,0.797,82.4432,5.0,3.4132,0.0484,0.2552,83.8731,0.1986,1.0,0.1129,0
MPLAD-FIN-400219,0.9832,0.0573,2.0,20.6961,0.9707,0.7883,239.4614,0.8521,1.0,2.4706,1
MPLAD-FIN-400220,0.9245,16.7675,2.0,4.8273,0.107,0.3364,31.5366,0.4095,0.0,1.3518,0
