project_id,sanctioned_cost_lakh,planned_duration_days,sanction_to_start_lag_days,num_bidders,vendor_past_overrun_rate,vendor_completed_projects,district_past_delay_rate,monsoon_overlap_months,fund_release_tranches,rate_deviation_pct,is_election_year,category_code,is_delayed_or_overrun
PRJ-300093,4.31,135.0,31.2,4.0,0.097,12.0,0.3716,4.0,3.0,17.95,0.0,4.0,1
PRJ-300094,33.1,161.0,43.0,3.0,0.1011,23.0,0.361,1.0,3.0,-9.39,1.0,1.0,0
PRJ-300095,9.34,138.0,78.6,8.0,0.2249,32.0,0.437,4.0,3.0,-16.51,0.0,2.0,0
PRJ-300096,5.36,135.0,52.0,3.0,0.622,49.0,0.121,2.0,1.0,1.43,0.0,3.0,0
PRJ-300097,18.34,83.0,72.6,4.0,0.1638,4.0,0.0988,0.0,1.0,14.2,0.0,8.0,0
PRJ-300098,12.16,319.0,22.4,2.0,0.2601,29.0,0.2994,2.0,3.0,11.52,0.0,0.0,0
PRJ-300099,15.2,474.0,56.5,7.0,0.2734,47.0,0.7415,0.0,4.0,14.6,0.0,8.0,1
PRJ-300100,12.96,194.0,55.7,1.0,0.138,2.0,0.3336,1.0,3.0,-6.19,0.0,6.0,0
PRJ-300101,2.4,431.0,97.7,1.0,0.4122,1.0,0.613,0.0,4.0,10.65,1.0,2.0,1
PRJ-300102,6.61,314.0,112.8,7.0,0.2273,5.0,0.3584,3.0,4.0,4.47,0.0,5.0,0
PRJ-300103,6.43,170.0,30.7,7.0,0.2395,19.0,0.4731,1.0,1.0,-3.15,0.0,5.0,0
PRJ-300104,21.51,75.0,19.0,7.0,0.3772,7.0,0.3132,4.0,2.0,0.35,0.0,0.0,0
PRJ-300105,12.45,432.0,75.7,7.0,0.2308,22.0,0.4415,1.0,4.0,9.84,0.0,0.0,0
PRJ-300106,16.7,56.0,9.2,2.0,0.5535,17.0,0.4461,0.0,3.0,6.87,0.0,4.0,1
PRJ-300107,9.72,253.0,79.4,3.0,0.2878,46.0,0.1632,3.0,1.0,6.59,1.0,8.0,0
PRJ-300108,17.22,61.0,83.8,7.0,0.3557,22.0,0.3565,2.0,1.0,8.07,0.0,2.0,0
PRJ-300109,10.98,428.0,28.7,3.0,0.5863,58.0,0.2564,0.0,2.0,-4.86,1.0,8.0,0
PRJ-300110,10.46,534.0,2.7,7.0,0.571,9.0,0.3141,1.0,2.0,-15.9,0.0,0.0,0
PRJ-300111,13.71,204.0,90.0,8.0,0.0311,11.0,0.1403,1.0,1.0,-8.29,0.0,2.0,0
PRJ-300112,12.96,200.0,118.2,8.0,0.2682,48.0,0.3946,3.0,1.0,10.6,0.0,5.0,1
PRJ-300113,48.11,324.0,112.8,7.0,0.2727,8.0,0.2325,1.0,1.0,-17.09,1.0,0.0,1
PRJ-300114,6.56,293.0,115.3,7.0,0.0112,22.0,0.2041,0.0,4.0,0.12,0.0,7.0,0
PRJ-300115,3.98,233.0,13.6,5.0,0.0671,37.0,0.2131,0.0,1.0,1.8,0.0,1.0,0
PRJ-300116,14.99,226.0,47.2,1.0,0.0873,53.0,0.3706,4.0,4.0,8.71,1.0,2.0,0
PRJ-300117,7.22,137.0,55.4,4.0,0.0781,13.0,0.3774,1.0,4.0,-15.29,0.0,8.0,0
PRJ-300118,2.21,169.0,49.4,8.0,0.2708,16.0,0.3265,4.0,2.0,-27.03,0.0,0.0,0
PRJ-300119,5.55,334.0,73.2,8.0,0.2173,1.0,0.2278,2.0,4.0,-6.84,0.0,4.0,0
PRJ-300120,41.86,408.0,17.9,2.0,0.3447,24.0,0.4719,3.0,3.0,6.73,0.0,2.0,1
PRJ-300121,6.44,416.0,8.9,6.0,0.238,13.0,0.2513,2.0,3.0,16.68,0.0,4.0,0
PRJ-300122,3.09,300.0,6.1,3.0,0.1506,17.0,0.0344,2.0,4.0,-8.03,0.0,7.0,0
PRJ-300123,40.29,417.0,91.3,4.0,0.3111,14.0,0.4367,3.0,2.0,-10.07,0.0,6.0,1
PRJ-300124,5.4,338.0,13.4,6.0,0.2715,59.0,0.2252,0.0,2.0,2.95,0.0,6.0,0
PRJ-300125,56.88,221.0,49.1,4.0,0.196,33.0,0.2442,1.0,4.0,25.03,0.0,4.0,0
PRJ-300126,9.44,219.0,27.6,5.0,0.4057,30.0,0.2579,0.0,3.0,5.55,0.0,2.0,0
PRJ-300127,33.19,301.0,28.6,1.0,0.1813,27.0,0.6849,2.0,2.0,6.43,0.0,7.0,1
PRJ-300128,10.31,197.0,38.5,3.0,0.2077,35.0,0.5182,2.0,4.0,23.5,0.0,4.0,0
PRJ-300129,16.16,423.0,29.7,7.0,0.234,20.0,0.0703,4.0,4.0,11.2,0.0,7.0,0
PRJ-300130,11.14,136.0,9.0,5.0,0.2194,9.0,0.6081,0.0,1.0,2.01,1.0,2.0,0
PRJ-300131,10.36,71.0,38.5,7.0,0.3696,17.0,0.4415,3.0,1.0,-13.46,0.0,2.0,0
PRJ-300132,14.21,288.0,22.9,8.0,0.1572,19.0,0.4663,3.0,3.0,0.87,0.0,4.0,1
PRJ-300133,16.53,80.0,21.9,3.0,0.3711,16.0,0.3503,2.0,1.0,8.68,0.0,4.0,0
PRJ-300134,13.52,139.0,141.2,3.0,0.2205,8.0,0.6424,4.0,3.0,-12.5,1.0,7.0,1
PRJ-300135,12.64,231.0,11.4,3.0,0.4566,51.0,0.5346,3.0,2.0,11.21,1.0,4.0,0
PRJ-300136,7.27,47.0,37.1,5.0,0.0692,25.0,0.7453,1.0,1.0,-1.34,0.0,5.0,0
PRJ-300137,11.42,155.0,52.4,3.0,0.3839,27.0,0.1386,1.0,4.0,-2.54,0.0,6.0,0
PRJ-300138,30.68,314.0,141.3,4.0,0.3665,53.0,0.4691,3.0,4.0,-11.17,0.0,6.0,0
PRJ-300139,7.04,230.0,16.2,2.0,0.1704,51.0,0.448,4.0,3.0,4.22,0.0,3.0,0
PRJ-300140,14.48,488.0,108.8,4.0,0.0707,14.0,0.8289,1.0,3.0,8.2,0.0,0.0,0
PRJ-300141,25.08,91.0,38.3,8.0,0.2039,59.0,0.3089,3.0,2.0,-12.85,0.0,3.0,0
PRJ-300142,16.62,401.0,39.4,4.0,0.3461,25.0,0.5471,0.0,2.0,6.2,1.0,0.0,0
PRJ-300143,21.65,338.0,70.1,7.0,0.1943,29.0,0.4911,3.0,1.0,10.75,0.0,8.0,1
PRJ-300144,5.34,363.0,120.5,4.0,0.1041,56.0,0.3594,1.0,1.0,10.1,0.0,8.0,0
PRJ-300145,14.5,377.0,29.5,4.0,0.2427,55.0,0.1841,3.0,3.0,2.76,0.0,7.0,0
PRJ-300146,9.97,70.0,55.3,6.0,0.3964,56.0,0.4697,3.0,2.0,-3.87,0.0,7.0,0
PRJ-300147,10.26,436.0,49.8,1.0,0.0479,10.0,0.2798,0.0,3.0,-3.16,0.0,8.0,0
PRJ-300148,29.11,209.0,48.0,3.0,0.1447,4.0,0.5467,3.0,3.0,-16.72,1.0,5.0,1
PRJ-300149,10.37,367.0,78.9,2.0,0.2591,18.0,0.486,0.0,1.0,-7.55,0.0,1.0,0
PRJ-300150,14.81,190.0,24.3,2.0,0.1133,17.0,0.4491,1.0,4.0,-3.51,0.0,1.0,0
PRJ-300151,3.09,241.0,33.0,6.0,0.2435,39.0,0.3663,2.0,4.0,-9.7,1.0,3.0,0
PRJ-300152,33.17,391.0,9.2,2.0,0.6593,9.0,0.1696,2.0,1.0,1.76,0.0,7.0,1
PRJ-300153,20.88,507.0,66.2,2.0,0.7108,14.0,0.1064,3.0,4.0,17.9,0.0,7.0,1
PRJ-300154,11.7,479.0,46.3,5.0,0.3349,47.0,0.1529,1.0,1.0,20.04,0.0,8.0,0
PRJ-300155,9.68,404.0,118.5,3.0,0.2342,35.0,0.7441,4.0,2.0,-7.02,0.0,6.0,0
PRJ-300156,17.69,311.0,15.8,1.0,0.4747,47.0,0.6119,3.0,2.0,21.13,0.0,5.0,1
PRJ-300157,24.89,306.0,153.2,8.0,0.2441,53.0,0.4103,2.0,1.0,13.57,0.0,3.0,0
PRJ-300158,33.44,522.0,74.3,8.0,0.2655,56.0,0.3897,3.0,2.0,-8.36,0.0,5.0,1
PRJ-300159,20.45,147.0,72.1,5.0,0.0201,58.0,0.4213,1.0,3.0,5.97,0.0,3.0,0
PRJ-300160,12.75,517.0,27.0,5.0,0.4399,40.0,0.1956,2.0,2.0,-0.27,0.0,5.0,1
PRJ-300161,22.43,366.0,35.8,7.0,0.1357,32.0,0.1455,2.0,3.0,-24.73,0.0,5.0,0
PRJ-300162,19.92,349.0,31.1,8.0,0.468,38.0,0.2663,0.0,1.0,-15.35,0.0,6.0,0
PRJ-300163,12.79,337.0,104.3,1.0,0.1177,44.0,0.2612,1.0,4.0,8.5,0.0,6.0,0
PRJ-300164,19.55,447.0,7.7,1.0,0.1764,52.0,0.1895,4.0,4.0,-18.65,0.0,2.0,0
PRJ-300165,19.32,383.0,40.1,3.0,0.1227,36.0,0.1273,3.0,1.0,21.63,0.0,7.0,1
PRJ-300166,11.66,91.0,42.8,3.0,0.1019,34.0,0.4545,4.0,2.0,12.01,0.0,5.0,1
PRJ-300167,8.47,431.0,30.2,8.0,0.2264,25.0,0.3695,3.0,4.0,8.19,0.0,1.0,1
PRJ-300168,18.28,405.0,19.8,5.0,0.4573,48.0,0.3111,0.0,2.0,-18.71,0.0,4.0,0
PRJ-300169,5.78,497.0,3.7,7.0,0.0453,21.0,0.6075,0.0,3.0,12.55,1.0,4.0,0
PRJ-300170,4.89,508.0,40.6,6.0,0.2109,20.0,0.3328,1.0,4.0,11.53,0.0,0.0,0
PRJ-300171,14.96,514.0,66.1,6.0,0.3068,36.0,0.2512,1.0,1.0,10.8,0.0,5.0,0
PRJ-300172,17.97,66.0,46.4,8.0,0.2094,37.0,0.5685,4.0,3.0,11.28,0.0,3.0,0
PRJ-300173,14.88,356.0,19.8,5.0,0.2403,20.0,0.6975,3.0,4.0,20.94,1.0,6.0,1
PRJ-300174,15.95,507.0,43.1,7.0,0.3305,0.0,0.3527,4.0,3.0,-8.74,0.0,2.0,0
PRJ-300175,17.78,523.0,119.5,3.0,0.1262,44.0,0.4452,4.0,3.0,-2.37,0.0,0.0,1
PRJ-300176,29.18,316.0,25.3,3.0,0.0619,5.0,0.6901,2.0,3.0,-10.59,0.0,7.0,1
PRJ-300177,20.67,496.0,51.6,5.0,0.3837,7.0,0.3188,1.0,1.0,9.37,1.0,5.0,0
PRJ-300178,20.28,480.0,57.2,8.0,0.3788,6.0,0.3501,2.0,4.0,-2.9,0.0,8.0,0
PRJ-300179,14.22,46.0,12.3,1.0,0.047,43.0,0.4937,3.0,3.0,-16.04,0.0,0.0,0
PRJ-300180,14.57,483.0,34.4,5.0,0.0985,45.0,0.3256,3.0,3.0,0.9,0.0,5.0,0
PRJ-300181,11.03,360.0,34.8,2.0,0.2198,30.0,0.3514,2.0,3.0,-24.08,1.0,3.0,0
PRJ-300182,15.65,328.0,45.0,8.0,0.2443,5.0,0.3157,0.0,4.0,0.87,0.0,0.0,0
PRJ-300183,5.57,133.0,101.9,5.0,0.061,4.0,0.3519,1.0,2.0,1.45,0.0,2.0,0
PRJ-300184,29.26,499.0,15.3,1.0,0.4388,33.0,0.5704,2.0,4.0,-5.35,0.0,7.0,1
PRJ-300185,6.72,191.0,106.3,1.0,0.0885,50.0,0.2701,3.0,1.0,12.06,0.0,0.0,0
PRJ-300186,20.65,251.0,69.7,6.0,0.054,42.0,0.2335,2.0,2.0,-21.73,0.0,1.0,0
PRJ-300187,27.01,192.0,156.1,2.0,0.135,32.0,0.2035,4.0,4.0,1.13,0.0,1.0,0
PRJ-300188,20.62,524.0,5.3,1.0,0.1923,30.0,0.0927,3.0,3.0,2.35,0.0,2.0,1
PRJ-300189,44.17,284.0,213.7,2.0,0.3567,44.0,0.6507,1.0,4.0,-0.54,0.0,5.0,1
PRJ-300190,2.5,101.0,11.7,2.0,0.3852,12.0,0.5162,3.0,1.0,14.76,0.0,4.0,0
PRJ-300191,8.85,50.0,21.2,3.0,0.4121,7.0,0.1706,2.0,4.0,-7.73,0.0,4.0,0
PRJ-300192,26.73,530.0,21.3,6.0,0.2386,21.0,0.1675,1.0,2.0,-1.15,0.0,0.0,0
PRJ-300193,4.75,161.0,67.3,7.0,0.2509,9.0,0.6772,0.0,3.0,1.28,0.0,8.0,0
PRJ-300194,6.87,426.0,36.9,5.0,0.2587,16.0,0.5399,3.0,1.0,-4.71,0.0,3.0,0
PRJ-300195,17.07,59.0,24.2,8.0,0.2132,52.0,0.3384,3.0,1.0,-18.85,0.0,2.0,0
PRJ-300196,12.65,488.0,137.4,7.0,0.1319,28.0,0.4974,0.0,2.0,18.17,0.0,6.0,0
PRJ-300197,16.4,367.0,4.3,2.0,0.024,28.0,0.315,1.0,3.0,-9.41,0.0,0.0,0
PRJ-300198,13.37,156.0,88.9,6.0,0.4959,44.0,0.2843,2.0,2.0,-9.18,0.0,6.0,1
PRJ-300199,14.19,485.0,42.0,2.0,0.1089,17.0,0.4652,0.0,4.0,-26.93,0.0,3.0,0
PRJ-300200,7.36,192.0,23.8,8.0,0.2644,42.0,0.4584,3.0,1.0,0.68,0.0,1.0,1
PRJ-300201,13.89,538.0,26.4,7.0,0.2232,31.0,0.3076,3.0,4.0,2.08,0.0,6.0,0
PRJ-300202,9.27,341.0,33.9,1.0,0.2255,34.0,0.2867,1.0,4.0,15.05,0.0,4.0,1
PRJ-300203,10.16,267.0,21.6,2.0,0.1695,22.0,0.528,3.0,3.0,-4.5,0.0,0.0,0
PRJ-300204,20.47,73.0,79.3,4.0,0.2703,55.0,0.478,2.0,2.0,3.04,0.0,1.0,0
PRJ-300205,4.58,173.0,31.6,6.0,0.4881,58.0,0.3769,0.0,2.0,12.01,0.0,0.0,0
PRJ-300206,1.89,73.0,71.4,5.0,0.2924,7.0,0.1329,2.0,1.0,16.58,0.0,2.0,0
PRJ-300207,19.54,467.0,26.8,1.0,0.3323,11.0,0.5974,2.0,2.0,4.48,0.0,6.0,0
PRJ-300208,13.9,94.0,51.0,6.0,0.0685,44.0,0.2133,0.0,1.0,-4.21,0.0,0.0,0
PRJ-300209,26.99,101.0,50.9,6.0,0.5424,31.0,0.0824,4.0,3.0,14.44,0.0,0.0,0
PRJ-300210,7.0,106.0,44.6,8.0,0.298,46.0,0.4018,3.0,1.0,14.75,0.0,5.0,0
PRJ-300211,11.42,527.0,108.6,3.0,0.367,19.0,0.3482,2.0,4.0,-20.79,0.0,3.0,1
PRJ-300212,12.97,525.0,116.1,1.0,0.2126,38.0,0.2556,3.0,1.0,4.2,0.0,1.0,1
PRJ-300213,8.0,398.0,76.3,6.0,0.7417,9.0,0.5267,3.0,4.0,11.74,0.0,3.0,1
PRJ-300214,6.38,81.0,94.0,6.0,0.3128,57.0,0.2371,2.0,4.0,8.67,1.0,8.0,1
PRJ-300215,20.16,294.0,73.4,5.0,0.1344,40.0,0.3277,2.0,1.0,-3.24,0.0,0.0,0
PRJ-300216,4.26,514.0,29.8,6.0,0.0882,38.0,0.5039,2.0,4.0,-5.75,0.0,2.0,0
PRJ-300217,5.65,92.0,39.3,2.0,0.0361,8.0,0.3078,1.0,1.0,16.54,0.0,8.0,0
PRJ-300218,11.16,437.0,5.4,2.0,0.349,53.0,0.36,2.0,2.0,2.95,0.0,7.0,0
PRJ-300219,21.66,54.0,18.5,4.0,0.1735,16.0,0.6053,0.0,4.0,-2.19,1.0,5.0,0
PRJ-300220,8.37,442.0,11.8,8.0,0.3815,7.0,0.5065,0.0,1.0,-1.68,0.0,8.0,1
PRJ-300221,7.65,314.0,23.6,5.0,0.4492,29.0,0.1179,1.0,2.0,-0.01,0.0,2.0,0
PRJ-300222,10.72,484.0,54.1,6.0,0.1854,58.0,0.1913,0.0,2.0,-1.8,1.0,1.0,0
PRJ-300223,15.44,249.0,28.8,8.0,0.0673,25.0,0.1532,3.0,2.0,13.83,0.0,3.0,0
PRJ-300224,9.62,433.0,82.0,3.0,0.559,0.0,0.3436,0.0,2.0,5.26,0.0,1.0,1
PRJ-300225,23.42,462.0,19.2,4.0,0.1991,54.0,0.3449,1.0,1.0,4.45,0.0,5.0,0
PRJ-300226,24.05,205.0,69.0,6.0,0.4179,39.0,0.2772,2.0,3.0,-2.39,0.0,3.0,0
PRJ-300227,11.16,362.0,17.7,2.0,0.1499,39.0,0.6498,2.0,1.0,6.95,1.0,7.0,0
